emis,centre_no,name,quintile,wrote_2014,passed_2014,perc_2014,progressed_2015,wrote_2015,passed_2015,perc_2015,progressed_2016,wrote_2016,passed_2016,perc_2016
200600903,4071040,W.B.RUBUSANA SENIOR SECONDARY SCHOOL,3,113,62,54.9,22,150,62,41.3,65,85,52,61.2
200600936,4071041,ZAMOKUHLE SENIOR SECONDARY SCHOOL,3,44,9,20.5,0,38,25,65.8,0,60,16,26.7
200600952,4071048,ZOLANI JUNIOR SECONDARY SCHOOL,3,,,0,1,54,9,16.7,0,74,9,12.2
200600956,4071042,ZWELEDINGA HIGH SCHOOL,2,82,41,50,0,93,22,23.7,0,91,36,39.6
200400034,4111001,BELE ZINGCUKA TECHNICAL COLLEGE,3,46,29,63,35,63,23,36.5,22,21,14,66.7
200500072,4111031,BUWA SENIOR SECONDARY SCHOOL,1,,,0,,,,,0,28,14,50
200400067,4111002,CAMERON NGUDLE SENIOR SECONDARY SCHOOL,2,24,23,95.8,9,51,41,80.4,9,32,30,93.8
200400359,4111025,TSOLO HIGH SCHOOL,3,55,43,78.2,40,91,39,42.9,8,89,61,68.5
200401321,4111026,UPPER CULUNCA SENIOR SECONDARY SCHOOL,1,15,14,93.3,12,42,17,40.5,9,16,9,56.3
200401143,4111027,WELSH SENIOR SECONDARY SCHOOL,1,10,8,80,125,138,21,15.2,43,53,19,35.8
200600012,4061001,ALIWAL NORTH HIGH SCHOOL,5,85,84,98.8,1,82,78,95.1,0,86,78,90.7
200600266,4061002,BARKLY EAST HIGH SCHOOL,4,25,23,92,0,29,28,96.6,0,24,24,100
200600048,4061003,BISHOP DEMONT SECONDARY SCHOOL,3,35,29,82.9,12,72,37,51.4,16,59,37,62.7
